CLO05AP00	0x01006D00	3.09	2.29	0.892	Y
CLO05BP00	0x01006D01	1.58	2.33	0.891	Y
CLO05CP00	0x01006D02	1.21	2.33	0.892	Y
CLO05DP00	0x01006D03	3.95	2.28	0.895	Y
CLO06AP00	0x01006E00	1.01	1.93	0.885	Y
CLO06BP00	0x01006E01	3.46	2.27	0.89	Y
CLO06CP00	0x01006E02	2.45	2.31	0.89	Y
CLO06DP00	0x01006E03	0.66	2.49	0.89	Y
CLO07AP00	0x01006F00	1.86	2.31	0.908	Y
CLO07BP00	0x01006F01	2.65	2.38	0.91	Y
CLO07CP00	0x01006F02	1.72	2.28	0.91	Y
CLO07DP00	0x01006F03	2.05	2.25	0.91	Y
CLO08AP00	0x01007000	2.71	2.38	0.895	Y
CLO08BP00	0x01007001	1.91	2.29	0.907	Y
CLO08CP00	0x01007002	2.72	2.34	0.907	Y
CLO08DP00	0x01007003	2.29	2.25	0.905	Y
CLO09AP00	0x01007100	2.26	2.33	0.9	Y
CLO09BP00	0x01007101	-3.299	2.481	0.89	Y
CLO09CP00	0x01007102	-0.5	2.48	0.89	Y
CLO09DP00	0x01007103	-0.92	2.5	0.892	Y
CLO10AP00	0x01007200	1.304	2.419	0.893	Y
CLO10BP00	0x01007201	0.3438	2.409	0.893	Y
CLO10CP00	0x01007202	-0.464	2.4937	0.89	Y
CLO10DP11	0x01007203	4.01	2.44	0.893	Y
CLO10DP00	0x01007208	-2.1	2.4367	0.893	Y
CLO11AP00	0x01007300	-2.143	2.37	0.895	Y
CLO11BP00	0x01007301	0.404	2.419	0.895	Y
CLO11CP00	0x01007302	5.889	2.434	0.893	Y
CLO11DP00	0x01007303	1.599	2.351	0.893	Y
CLO12AP00	0x01007400	1.83	2.23	0.908	Y
CLO12BP00	0x01007401	2.99	2.25	0.908	Y
CLO12CP00	0x01007402	1.74	2.28	0.908	Y
CLO12DP00	0x01007403	2.52	2.3	0.908	Y
CLO13AP00	0x01007500	-3.299	2.481	0.902	A
CLO13BP00	0x01007501	-0.03	2.25	0.902	Y
CLO13CP00	0x01007502	1.343	2.273	0.902	Y
CLO13DP00	0x01007503	-0.67	2.33	0.902	Y
CLO14AP00	0x01007600	1.29	2.24	0.905	A
CLO14BP11	0x01007601	3.36	2.33	0.907	Y
CLO14BP00	0x01007602	3.36	2.33	0.907	Y
CLO14CP00	0x01007603	1.37	2.22	0.907	Y
CLO15AP00	0x01007700	1.53	2.299	0.91	I
CLO15BP00	0x01007701	2.469	2.308	0.91	I
CLO15CP00	0x01007702	2.643	2.314	0.91	I
CLO15DP00	0x01007703	-0.7149	2.482	0.91	I
CLO16AP00	0x01007800	0.4482	2.377	0.91	I
CLO16BP00	0x01007801	10.73	2.37	0.91	I
CLO16CP00	0x01007802	1.584	2.4	0.91	I
CLO16DP00	0x01007803	-1.808	2.3	0.905	I
