#total Xsec.: 2621.6(mb)
#total elastic Xsec.: 1504.3(mb)
#total reaction Xsec.: 1117.4(mb)

#th(deg)  diff. Xsec.(mb/sr)  analyzing power     Rutherford ratio
   0.0    0.30590400E+56      0.00000000E+00      0.10000000E+01
   1.0    0.53012031E+08     -0.10242361E-02      0.10049784E+01
   2.0    0.29846302E+07     -0.55743222E-02      0.90516269E+00
   3.0    0.47669810E+06     -0.41284418E-02      0.73170215E+00
   4.0    0.11781707E+06      0.28671368E-01      0.57134669E+00
   5.0    0.41323799E+05      0.12162990E+00      0.48902756E+00
   6.0    0.21093973E+05      0.24223735E+00      0.51733741E+00
   7.0    0.14470081E+05      0.31322873E+00      0.65703260E+00
   8.0    0.11393653E+05      0.32587134E+00      0.88189306E+00
   9.0    0.92561338E+04      0.30859681E+00      0.11466151E+01
  10.0    0.74052952E+04      0.27898456E+00      0.13968226E+01
  11.0    0.57270755E+04      0.24285499E+00      0.15799351E+01
  12.0    0.42416112E+04      0.20045118E+00      0.16553277E+01
  13.0    0.29844368E+04      0.14916199E+00      0.16021835E+01
  14.0    0.19743971E+04      0.83766673E-01      0.14237287E+01
  15.0    0.12089228E+04     -0.51692233E-02      0.11471074E+01
  16.0    0.66771834E+03     -0.13578782E+00      0.81889717E+00
  17.0    0.31853666E+03     -0.34559792E+00      0.49703002E+00
  18.0    0.12286762E+03     -0.70029474E+00      0.24053709E+00
  19.0    0.40785531E+02     -0.92854804E+00      0.98936804E-01
  20.0    0.34710169E+02      0.53019094E+00      0.10316978E+00
  21.0    0.72038077E+02      0.98121601E+00      0.25972223E+00
  22.0    0.12670037E+03      0.87607986E+00      0.54901992E+00
  23.0    0.17976521E+03      0.75252094E+00      0.92841412E+00
  24.0    0.21924684E+03      0.65136945E+00      0.13392567E+01
  25.0    0.23931154E+03      0.56616685E+00      0.17168229E+01
  26.0    0.23908396E+03      0.48903520E+00      0.20013241E+01
  27.0    0.22125339E+03      0.41371539E+00      0.21480570E+01
  28.0    0.19066055E+03      0.33467704E+00      0.21348944E+01
  29.0    0.15301311E+03      0.24591711E+00      0.19658123E+01
  30.0    0.11383695E+03      0.13947842E+00      0.16698714E+01
  31.0    0.77724895E+02      0.31836957E-02      0.12958964E+01
  32.0    0.47900093E+02     -0.18285578E+00      0.90386486E+00
  33.0    0.26072843E+02     -0.44690373E+00      0.55458799E+00
